,ItinID,MktID,MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
311067,2.01814E+11,2.01814E+13,1,1,SFO,91,ORD,41,1846,2,1,UA,333
410931,20181720575,2.01817E+12,1,1,ORD,41,RNO,85,1671,2,4,AA,150.35
476241,2.01811E+11,2.01811E+13,1,1,SAN,91,PDX,92,933,2,1,AS,52.51
243372,2.01814E+11,2.01814E+13,1,1,LAS,85,LAX,91,236,2,2,UA,206
192013,2.01812E+11,2.01812E+13,1,1,MSP,63,MCO,33,1310,2,11,DL,193
576685,2.01811E+11,2.01811E+13,1,1,FLL,33,BUF,22,1166,2,1,B6,394
902868,2.01814E+11,2.01814E+13,1,1,AUS,74,EWR,21,1504,2,1,WN,178.5
264309,2.01814E+11,2.01814E+13,1,1,MCO,33,DEN,82,1546,2,3,UA,367
972295,2.01814E+11,2.01814E+13,1,1,BWI,35,LAX,91,2329,2,1,WN,314
186456,2.01812E+11,2.01812E+13,1,1,MSP,63,LAS,85,1299,2,2,DL,51
959776,2.01814E+11,2.01814E+13,1,1,LAS,85,HOU,74,1235,2,14,WN,602
779426,2.01814E+11,2.01814E+13,1,1,BOI,83,DEN,82,649,2,1,WN,139
425688,20181752019,2.01818E+12,1,1,BOS,13,PHL,23,280,2,8,AA,150.5
666677,2.01812E+11,2.01812E+13,1,1,PDX,92,LAX,91,834,2,1,DL,238
700736,2.01812E+11,2.01812E+13,1,1,SEA,93,LAX,91,954,2,1,DL,219
196846,2.01812E+11,2.01812E+13,1,1,MSP,63,PBI,33,1451,2,1,DL,531.82
943140,2.01814E+11,2.01814E+13,1,1,IND,42,DAL,74,755,2,1,WN,56.5
113198,2.01812E+11,2.01812E+13,2,1,LAX,91,AGS,34,2090,2,1,DL,347
122801,2.01812E+11,2.01812E+13,1,1,LAX,91,LAS,85,236,2,1,DL,212
669306,2.01812E+11,2.01812E+13,1,1,PHL,23,ATL,34,666,2,3,DL,140.5
899914,2.01814E+11,2.01814E+13,1,1,ELP,74,AUS,74,528,2,1,WN,234.5
981482,2.01814E+11,2.01814E+13,1,1,LAX,91,SFO,91,337,2,11,WN,69.5
417735,20181726587,2.01817E+12,1,1,ORD,41,TPA,33,1012,2,1,AA,129.87
949914,2.01814E+11,2.01814E+13,1,1,ISP,22,BWI,35,220,2,2,WN,121
662509,2.01812E+11,2.01812E+13,1,1,ORF,38,ATL,34,516,2,12,DL,320
406235,20181713861,2.01817E+12,1,1,ORD,41,PBI,33,1144,2,9,AA,198
787709,2.01814E+11,2.01814E+13,1,1,FLL,33,BUF,22,1166,2,2,WN,321.5
692598,2.01812E+11,2.01812E+13,1,1,CMH,44,ATL,34,447,2,1,DL,149.87
489368,2.01811E+11,2.01811E+13,1,1,SEA,93,BOS,13,2496,2,1,AS,324
417404,20181726246,2.01817E+12,1,1,STL,64,ORD,41,258,2,12,AA,192.5
939929,2.01814E+11,2.01814E+13,1,1,IAD,38,DEN,82,1452,2,3,WN,258.5
445384,2.01811E+11,2.01811E+13,1,1,GEG,93,SEA,93,224,2,1,AS,155
630836,2.01811E+11,2.01811E+13,1,1,JFK,22,PBI,33,1028,2,1,B6,104
989491,20181266797,2.01813E+12,1,1,LAX,91,DCA,38,2311,2,1,AA,244
833768,2.01814E+11,2.01814E+13,1,1,CMH,44,MDW,41,283,2,1,WN,63.09
146370,2.01812E+11,2.01812E+13,1,1,MSY,72,LGA,22,1183,2,1,DL,183
927456,2.01814E+11,2.01814E+13,1,1,HOU,74,HRL,74,277,2,1,WN,179.5
1002786,20181292264,2.01813E+12,1,1,BNA,54,DFW,74,631,2,11,AA,130
14522,20181787805,2.01818E+12,1,1,PHL,23,TPA,33,920,2,3,AA,386.5
371903,20181630603,2.01816E+12,1,1,MSY,72,MIA,33,675,2,6,AA,212.5
880011,2.01814E+11,2.01814E+13,1,1,DEN,82,MDW,41,895,2,1,WN,133
788549,2.01814E+11,2.01814E+13,1,1,MCO,33,BUF,22,1011,2,2,WN,100
475146,2.01811E+11,2.01811E+13,1,1,PDX,92,SFO,91,550,2,1,AS,135.5
157875,2.01812E+11,2.01812E+13,1,1,MCO,33,IND,42,829,2,1,DL,203
714918,2.01812E+11,2.01812E+13,1,1,SLC,87,BWI,35,1865,2,1,DL,158.5
854290,2.01814E+11,2.01814E+13,1,1,PHX,81,DAL,74,879,2,2,WN,127.5
48185,20181876965,2.01819E+12,2,1,SAN,91,JAX,33,2089,2,3,AA,327
321748,2.01814E+11,2.01814E+13,1,1,PHX,81,DEN,82,602,2,1,UA,56.33
38314,20181822161,2.01818E+12,1,1,PIT,23,ORD,41,413,2,1,AA,186.5
24585,20181802979,2.01818E+12,1,1,PHX,81,LAX,91,370,2,1,AA,97
869891,2.01814E+11,2.01814E+13,1,1,BOS,13,DEN,82,1754,2,1,WN,215
923038,2.01814E+11,2.01814E+13,1,1,HOU,74,BWI,35,1246,2,1,WN,204.5
545417,2.01811E+11,2.01811E+13,1,1,BOS,13,ATL,34,946,2,1,B6,185
627682,2.01811E+11,2.01811E+13,1,1,JFK,22,MCO,33,944,2,2,B6,90
616338,2.01811E+11,2.01811E+13,1,1,JFK,22,AUS,74,1521,2,4,B6,150.5
967077,2.01814E+11,2.01814E+13,1,1,LAS,85,SEA,93,867,2,1,WN,254
319312,2.01814E+11,2.01814E+13,1,1,PHL,23,DEN,82,1558,2,7,UA,210
792410,2.01814E+11,2.01814E+13,1,1,LAS,85,BUR,91,223,2,2,WN,102.5
507730,2.01811E+11,2.01811E+13,1,1,MSY,72,SEA,93,2086,2,1,AS,557.5
730674,2.01812E+11,2.01812E+13,1,1,SAN,91,SLC,87,626,2,1,DL,194.5
457517,2.01811E+11,2.01811E+13,1,1,LIH,2,OAK,91,2457,1,7,AS,258
1012726,20181303844,2.01813E+12,1,1,DFW,74,ELP,74,551,2,1,AA,155.5
937426,2.01814E+11,2.01814E+13,1,1,SNA,91,HOU,74,1357,2,1,WN,219.5
738093,2.01812E+11,2.01812E+13,2,1,SRQ,33,MKE,45,1113,2,1,DL,168
59118,20181919599,2.01819E+12,1,1,MIA,33,SFO,91,2585,2,2,AA,159.5
742710,2.01812E+11,2.01812E+13,1,1,ATL,34,TPA,33,406,2,19,DL,269
164342,2.01812E+11,2.01812E+13,1,1,MEM,54,ATL,34,332,2,1,DL,147.5
434150,2.01811E+11,2.01811E+13,1,1,SEA,93,AUS,74,1770,2,1,AS,87.5
767523,2.01813E+11,2.01813E+13,1,1,BOS,13,DEN,82,1754,2,3,UA,237
807137,2.01814E+11,2.01814E+13,1,1,BWI,35,JAX,33,663,2,1,WN,300.32
155503,2.01812E+11,2.01812E+13,1,1,LAX,91,MCO,33,2218,2,1,DL,142.72
111768,2.01812E+11,2.01812E+13,1,1,MSP,63,LAS,85,1299,2,1,DL,207.5
483934,2.01811E+11,2.01811E+13,1,1,SAN,91,PDX,92,933,2,2,AS,240.5
516910,2.01811E+11,2.01811E+13,1,1,SAN,91,SEA,93,1050,2,1,AS,438.5
285478,2.01814E+11,2.01814E+13,1,1,DFW,74,ORD,41,802,2,2,UA,435.5
329273,2.01814E+11,2.01814E+13,1,1,RSW,33,EWR,21,1068,2,2,UA,195.5
588487,2.01811E+11,2.01811E+13,1,1,DEN,82,BOS,13,1754,2,8,B6,294
109665,2.01812E+11,2.01812E+13,1,1,KOA,2,SEA,93,2688,1,3,DL,427
708051,2.01812E+11,2.01812E+13,1,1,JFK,22,SFO,91,2586,2,4,DL,252.5
180417,2.01812E+11,2.01812E+13,1,1,MSP,63,DEN,82,680,2,6,DL,158.5
46449,20181870203,2.01819E+12,1,1,DFW,74,RSW,33,1017,2,1,AA,442.5
49658,20181880356,2.01819E+12,1,1,MIA,33,SAN,91,2267,2,1,AA,891.5
726002,2.01812E+11,2.01812E+13,1,1,MSY,72,SLC,87,1428,2,1,DL,229
849363,2.01814E+11,2.01814E+13,1,1,MAF,74,DAL,74,319,2,2,WN,274
700653,2.01812E+11,2.01812E+13,1,1,SEA,93,LAX,91,954,2,1,DL,185.5
936440,2.01814E+11,2.01814E+13,1,1,HOU,74,SAN,91,1313,2,2,WN,161.5
